episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
0,25.853783064338323,-2.409584641991035,"Location(x=0.655213, y=249.196777, z=0.324544)","Location(x=-3.440320, y=249.203003, z=0.000000)",7.672527313232422,230,1,4,18.660424782466087
1,30.40150041397237,174.1701800998944,"Location(x=193.896057, y=111.732162, z=0.237507)","Location(x=192.601089, y=112.356163, z=0.000000)",9.25109076499939,278,1,1,23.26113290873434
2,27.252674987198535,88.84352562021616,"Location(x=120.431602, y=311.318024, z=0.325180)","Location(x=120.431877, y=306.554352, z=0.000000)",6.30893611907959,189,1,4,18.531771729413258
3,30.068532982244374,-156.61948388924688,"Location(x=25.610405, y=179.465347, z=0.175779)","Location(x=25.606697, y=187.563980, z=0.000000)",15.089687585830688,455,1,4,19.297546987172552
4,29.06551253823015,-216.40314364748937,"Location(x=70.848434, y=298.288605, z=0.325134)","Location(x=70.846992, y=302.537537, z=0.000000)",7.269672155380249,218,1,4,20.21085701630875
5,32.63551913898367,-390.9541766995273,"Location(x=82.317780, y=296.357422, z=0.323151)","Location(x=82.323723, y=302.541412, z=0.000000)",9.976611137390137,300,1,4,19.72157860401206
6,24.51030966189445,-313.5016572261009,"Location(x=187.825821, y=307.754669, z=0.280784)","Location(x=186.530792, y=305.234070, z=0.000000)",7.891385316848755,237,1,6,19.008938176461886
7,29.23508018836628,-232.83404204729112,"Location(x=199.936264, y=240.868057, z=0.322086)","Location(x=193.697769, y=240.869476, z=0.000000)",9.880122900009155,297,1,0,17.820149705991064
8,29.30448223242627,-1122.1235806580225,"Location(x=-4.403718, y=86.947540, z=0.001722)","Location(x=1.288387, y=106.048225, z=0.000000)",6.83768367767334,205,0,7,18.30053008188407
9,34.7469144497998,-1075.815988710764,"Location(x=132.681442, y=245.355148, z=0.329038)","Location(x=132.684113, y=240.924133, z=0.000000)",6.72590446472168,200,1,0,18.778707941822873
10,35.769897395397535,-2070.321271834952,"Location(x=201.142548, y=307.632599, z=0.300968)","Location(x=191.917313, y=300.763245, z=0.000000)",25.619481325149536,774,1,18,26.35314994870302
11,29.027966037579915,-2064.7212107412706,"Location(x=131.320114, y=245.570343, z=0.330563)","Location(x=131.322922, y=240.923309, z=0.000000)",6.7389514446258545,202,1,2,18.753289686954552
12,28.049078004572706,-2933.002270876487,"Location(x=21.889194, y=242.692734, z=0.221848)","Location(x=41.854622, y=242.690994, z=0.000000)",10.736007690429688,287,0,2,18.743667904292337
13,36.230887751264234,-3491.140424020775,"Location(x=-3.994776, y=312.870636, z=0.321197)","Location(x=-1.063706, y=305.608093, z=0.000000)",14.086367845535278,408,1,20,25.01743700539602
14,26.469586597373176,-3666.8651282723563,"Location(x=146.814896, y=182.603729, z=0.311699)","Location(x=146.812607, y=187.619522, z=0.000000)",13.12089228630066,367,1,2,21.468996050964478
15,44.17525231648125,-4256.528894835362,"Location(x=-14.120560, y=134.078262, z=0.327013)","Location(x=-7.397164, y=134.088348, z=0.000000)",21.24674344062805,615,1,19,27.371993915357564
16,30.564393086613112,-4969.712028640718,"Location(x=-9.410896, y=88.803047, z=0.001810)","Location(x=-0.914780, y=106.904175, z=0.000000)",10.39671277999878,303,0,7,19.393133442952195
17,31.40801160688907,-5038.045566819012,"Location(x=33.477551, y=193.997269, z=0.278149)","Location(x=33.478664, y=191.567596, z=0.000000)",9.673424482345581,278,1,5,23.21717412398206
18,28.524275256537013,-5013.728735340518,"Location(x=198.130936, y=236.465073, z=0.330241)","Location(x=193.696777, y=236.466080, z=0.000000)",7.895230054855347,226,1,2,17.270120063904706
19,35.04749450730606,-4972.422636123151,"Location(x=123.765099, y=193.346893, z=0.245532)","Location(x=123.768646, y=191.608978, z=0.000000)",8.861233472824097,250,1,0,18.302128098385683
20,24.253205491404135,-5063.391118834628,"Location(x=-5.363304, y=312.665253, z=0.318758)","Location(x=-1.396103, y=305.459229, z=0.000000)",9.454044580459595,274,1,9,16.685938808035864
21,24.355483642456953,-5276.125029413781,"Location(x=-12.380650, y=105.624313, z=0.322546)","Location(x=-5.483799, y=110.681381, z=0.000000)",4.030710220336914,116,1,3,13.239183820036333
22,30.01280102640408,-5595.440098831452,"Location(x=159.027054, y=308.915436, z=0.290717)","Location(x=159.023773, y=306.529968, z=0.000000)",15.755260705947876,445,1,6,21.400458553685265
23,21.307884507139658,-5534.00205768864,"Location(x=192.830948, y=111.064423, z=0.221891)","Location(x=192.034149, y=111.297066, z=0.000000)",5.715586423873901,163,1,6,12.817096335966117
24,22.289962162856128,-5553.3337406024575,"Location(x=58.731613, y=234.458374, z=0.278121)","Location(x=58.730148, y=236.879227, z=0.000000)",11.932736873626709,339,1,6,19.326773668298273
25,25.57144490489969,-5651.602531032207,"Location(x=196.880661, y=237.502441, z=0.272270)","Location(x=193.697006, y=237.503159, z=0.000000)",9.92650580406189,281,1,4,17.749448488516045
26,25.573855622538435,-5864.970122693992,"Location(x=-15.118723, y=303.649353, z=0.318662)","Location(x=-6.535417, y=300.425476, z=0.000000)",6.102370262145996,176,1,8,15.324630386223191
27,30.14044074316178,-5932.142733019603,"Location(x=133.441986, y=183.093979, z=0.337602)","Location(x=133.439926, y=187.613403, z=0.000000)",7.673137426376343,220,1,2,16.018188905042926
28,33.74726751017897,-6224.601364099741,"Location(x=176.151718, y=245.210831, z=0.334551)","Location(x=176.154312, y=240.950531, z=0.000000)",18.173649311065674,511,1,14,24.918408224105384
29,36.96928946195135,-6936.097374637041,"Location(x=3.009819, y=85.879959, z=0.001683)","Location(x=3.838289, y=105.588814, z=0.000000)",10.724957704544067,313,0,12,19.769791393256074
30,27.536946167301625,-6811.923465930515,"Location(x=44.131435, y=104.430046, z=0.248373)","Location(x=44.124744, y=105.408020, z=0.000000)",8.416772603988647,243,1,1,18.097790322256003
31,19.941070116290206,-6768.062222204865,"Location(x=191.019150, y=108.506622, z=0.221869)","Location(x=190.340866, y=109.108017, z=0.000000)",4.834707498550415,139,1,5,13.591413461497073
